Enchants:
-<enchantment:minecraft:tb.tainted> - Tainted I (at level 1, max level 3, treasure: no, enchant id 15)
-<enchantment:apotheosis:shield_bash> - Shield Bash I (at level 1, max level 5, treasure: no, enchant id 69)
-<enchantment:cyclicmagic:enchantment.expboost> - Experience Boost I (at level 1, max level 3, treasure: no, enchant id 58)
-<enchantment:minecraft:luck_of_the_sea> - Luck of the Sea I (at level 1, max level 3, treasure: no, enchant id 61)
-<enchantment:enderio:repellent> - Repellent I (at level 1, max level 4, treasure: no, enchant id 26)
-<enchantment:minecraft:sweeping> - Sweeping Edge I (at level 1, max level 3, treasure: no, enchant id 22)
-<enchantment:minecraft:thorns> - Thorns I (at level 1, max level 3, treasure: no, enchant id 7)
-<enchantment:yoyos:collecting> - Collecting I (at level 1, max level 5, treasure: no, enchant id 42)
-<enchantment:cyclicmagic:enchantment.magnet> - Magnet I (at level 1, max level 3, treasure: no, enchant id 52)
-<enchantment:bewitchment:spirit_protection> - Spirit Protection I (at level 1, max level 4, treasure: no, enchant id 31)
-<enchantment:minecraft:flame> - Flame (at level 1, max level 1, treasure: no, enchant id 50)
-<enchantment:minecraft:feather_falling> - Feather Falling I (at level 1, max level 4, treasure: no, enchant id 2)
-<enchantment:cofhcore:leech> - Leech I (at level 1, max level 4, treasure: no, enchant id 85)
-<enchantment:cofhcore:insight> - Insight I (at level 1, max level 3, treasure: no, enchant id 84)
-<enchantment:minecraft:binding_curse> - Curse of Binding (at level 1, max level 1, treasure: yes, enchant id 10)
-<enchantment:apotheosis:reflective> - Reflective Defenses I (at level 1, max level 5, treasure: no, enchant id 72)
-<enchantment:enderio:witherarrow> - Withering (at level 1, max level 1, treasure: no, enchant id 27)
-<enchantment:minecraft:tb.elderknowledge> - Elder Wisdom I (at level 1, max level 5, treasure: no, enchant id 14)
-<enchantment:astralsorcery:enchantment.as.nightvision> - Night Vision (at level 1, max level 1, treasure: no, enchant id 81)
-<enchantment:apotheosis:tempting> - Temptation (at level 1, max level 1, treasure: no, enchant id 68)
-<enchantment:minecraft:projectile_protection> - Projectile Protection I (at level 1, max level 4, treasure: no, enchant id 4)
-<enchantment:apotheosis:scavenger> - Scavenger I (at level 1, max level 3, treasure: no, enchant id 65)
-<enchantment:minecraft:smite> - Smite I (at level 1, max level 5, treasure: no, enchant id 17)
-<enchantment:minecraft:frost_walker> - Frost Walker I (at level 1, max level 2, treasure: yes, enchant id 9)
-<enchantment:bibliocraft:bibliocraft.deathcompassench> - Eternal Compass (at level 1, max level 1, treasure: no, enchant id 36)
-<enchantment:minecraft:punch> - Punch I (at level 1, max level 2, treasure: no, enchant id 49)
-<enchantment:apotheosis:natures_blessing> - Nature's Blessing I (at level 1, max level 3, treasure: no, enchant id 76)
-<enchantment:cofhcore:soulbound> - Soulbound I (at level 1, max level 3, treasure: no, enchant id 89)
-<enchantment:minecraft:sharpness> - Sharpness I (at level 1, max level 5, treasure: no, enchant id 16)
-<enchantment:minecraft:efficiency> - Efficiency I (at level 1, max level 5, treasure: no, enchant id 32)
-<enchantment:cyclicmagic:enchantment.quickdraw> - Quickdraw (at level 1, max level 1, treasure: no, enchant id 54)
-<enchantment:enderio:witherweapon> - Decay (at level 1, max level 1, treasure: no, enchant id 28)
-<enchantment:naturalpledge:light> - Streamlined I (at level 1, max level 5, treasure: no, enchant id 39)
-<enchantment:cofhcore:smashing> - Smashing (at level 1, max level 1, treasure: no, enchant id 87)
-<enchantment:apotheosis:depth_miner> - Miner's Fervor I (at level 1, max level 7, treasure: no, enchant id 63)
-<enchantment:minecraft:lure> - Lure I (at level 1, max level 3, treasure: no, enchant id 62)
-<enchantment:enderzoo:witherarrow> - enchantment.witherArrow (at level 1, max level 1, treasure: no, enchant id 91)
-<enchantment:apotheosis:life_mending> - Life-Mending I (at level 1, max level 3, treasure: no, enchant id 66)
-<enchantment:apotheosis:knowledge> - Knowledge of the Ages I (at level 1, max level 3, treasure: no, enchant id 74)
-<enchantment:minecraft:fire_aspect> - Fire Aspect I (at level 1, max level 2, treasure: no, enchant id 20)
-<enchantment:naturalpledge:heavy> - Crushing I (at level 1, max level 5, treasure: no, enchant id 38)
-<enchantment:draconicevolution:enchant_reaper> - Reaper I (at level 1, max level 5, treasure: no, enchant id 11)
-<enchantment:apotheosis:icy_thorns> - Icy Thorns I (at level 1, max level 3, treasure: no, enchant id 67)
-<enchantment:enderio:soulbound> - Soulbound (at level 1, max level 1, treasure: no, enchant id 25)
-<enchantment:minecraft:unbreaking> - Unbreaking I (at level 1, max level 3, treasure: no, enchant id 34)
-<enchantment:tg:regen_primal> - Primal Regeneration I (at level 1, max level 4, treasure: no, enchant id 40)
-<enchantment:astralsorcery:enchantment.as.smelting> - Scorching Heat (at level 1, max level 1, treasure: no, enchant id 82)
