Recipe names:
extratrees:maclura_fences - 3xtile.fences.1@9
botania:livingwood0slab_0 - 6xtile.livingwood0Slab@0
nuclearcraft:tile.nuclearcraft.turbine_rotor_shaft - 4xtile.nuclearcraft.turbine_rotor_shaft@0
darkutils:ender_hopper - 1xtile.darkutils.ender.hopper@0
ironchest:shulker/yellow/gold/iron_gold_shulker_box - 1xtile.IronShulkerBoxyellow@1
enderio:concussion_charge - 1xtile.block_concussion_charge@0
complex-logic:lamp/cage_lamp_orange - 1xtile.cage_lamp@0
environmentaltech:m_resources/litherite/normal/slabs/slabs - 6xtile.environmentaltech.litherite_slab@0
cyclicmagic:item.apple_emerald_1 - 1xitem.apple_emerald@0
enderio:melodic_alloy_ball_crafting - 24xitem.item_alloy_endergy_ball@2
minecraft:bone_block - 1xtile.boneBlock@0
forestry:farm_valve_brick_mossy - 1xtile.for.ffarm@4
bewitchment:equipment/bauble/token_of_remedies - 1xitem.bewitchment.token_of_remedies@0
thermalinnovation:magnet - 1xitem.thermalinnovation.magnet@0
randomthings:lapisglass - 8xtile.lapisGlass@0
jaopca:block_fencelithium_gd2w2m - 3xtile.jaopca.fence@0
extratrees:syzgium_planks - 4xtile.planks.2@2
nuclearcraft:item.tcomplement.manyullyn_leggings - 1xitem.tcomplement.manyullyn_leggings@0
cyclicmagic:item.ender_snow_1 - 1xitem.ender_snow@0
forestry:fireproof_stairs_cocobolo - 4xtile.for.stairs.fireproof.cocobolo@0
botany:clay_black - 1xitem.botany.clay@1
botany:botanist_backpack - 1xitem.botany.botanist_bag@0
randomthings:spectrecharger_redstone - 1xitem.spectreCharger@1
mysticalagriculture:supremium_fishing_rod - 1xitem.ma.supremium_fishing_rod@0
minecraft:cobblestone_wall - 6xtile.cobbleWall@0
ironchest:shulker/brown/gold/iron_gold_shulker_box - 1xtile.IronShulkerBoxbrown@1
thaumic_arcana:neutered_flesh - 1xitem.thaumic_arcana.neutered_flesh@0
tconstruct:smeltery/seared/slab/paver_slab - 6xtile.tconstruct.seared_slab@2
sonarcore:tile.stablestone_lime51 - 1xtile.StableStone_Lime@0
mysticalagradditions:supremium_paxel - 1xitem.ma.supremium_paxel@0
jaopca:block_slabamber_7qf570 - 6xtile.jaopca.slab@0
environmentaltech:m_resources/lonsdaleite/pavers/paver - 8xtile.environmentaltech.lonsdaleite_paver@0
bloodarsenal:blood_infused_wooden_axe_alt - 1xitem.bloodarsenal.blood_infused_wooden.axe@0
nuclearcraft:item.actuallyadditions.item_helm_crystal_green_1 - 1xitem.actuallyadditions.item_helm_crystal_green@0
engineersdoors:door_concrete_reinforced - 1xitem.door_concrete_reinforced@0
jaopca:dust_3w37u9 - 5xitem.techreborn.dust@50
nuclearcraft:item.actuallyadditions.item_helm_crystal_green_2 - 1xitem.actuallyadditions.item_helm_crystal_green@0
naturalpledge:njord - 1xitem.priest_emblem@0
extrabotany:recipe_magicfinger - 1xitem.magicfinger@0
crafttweaker:immersiveengineering-hammercrushing_aluminum-modified - 1xitem.immersiveengineering.metal@10
tconstruct:gadgets/dried/dried_bricks_stairs - 4xtile.tconstruct.dried_brick_stairs@0
thaumcraft:mechanism_simple - 1xitem.mechanism_simple@0
appliedenergistics2:network/cables/smart_pink - 8xitem.appliedenergistics2.part@46
sonarcore:tile.stablestone_lime48 - 8xtile.StableStone_Lime@0
forestry:fence_gates_plum - 1xtile.for.fence.gates.plum@0
jaopca:block_wallelectrumflux_rojr6v - 12xtile.jaopca.wall@0
mysticalagriculture:prudentium_pickaxe - 1xitem.ma.prudentium_pickaxe@0
torchmaster:feral_flare_lantern - 1xtile.torchmaster.feral_flare_lantern@0
rftoolscontrol:crafting_card - 8xitem.rftoolscontrol.crafting_card@0
darkutils:dyed_slime_block_brown - 8xtile.darkutils.slime.dyed@12
bewitchment:distillery - 1xtile.bewitchment.distillery@0
extratrees:box_stairs - 4xtile.stairs.box@0
extratrees:hazel_fireproof_fence_gates - 1xtile.fence.gates.fireproof.hazel@0
stevescarts:component/glass_o_magic - 1xitem.SC2:unknowncomponent@5
extratrees:alveary_rain_shield - 1xtile.null@2
bewitchment:block_of_salt_to_resource - 9xitem.bewitchment.salt@0
tconstruct:tools/table/chest/pattern - 1xtile.tconstruct.tooltables@4
bloodmagic:demon_decor/demon_extras_polished_stone_corrosive - 4xtile.bloodmagic.extras.@6
botania:floating_endoflame - 2xtile.air@15
magneticraft:nuggets_cobalt - 9xitem.magneticraft.nuggets@4
cyclicmagic:tile.cable_wireless_1 - 1xtile.cable_wireless@0
pneumaticcraft:crop_support - 16xitem.crop_support@0
forestry:fences_mahoe - 3xtile.for.fences.1@0
mysticalagriculture:core/compression/storage/prudentium_essence_block_from - 9xitem.ma.crafting@1
bibliocraft:gray_dyed_lampgold - 1xtile.BiblioCraft:LampGold@2
mysticalagriculture:ghast_tear - 2xitem.ghastTear@0
nuclearcraft:item.helmetgold - 1xitem.helmetGold@0
forestry:fireproof_doors_willow - 3xtile.for.doors.willow@0
minecraft:green_stained_glass - 8xtile.stainedGlass@13
tp:bacon_eggs_sandwich - 1xitem.bacon_eggs_sandwhich@0
thermalfoundation:armor.boots_copper - 1xitem.thermalfoundation.armor.copperBoots@0
agricraft:combine_nugget_diamond - 1xitem.diamond@0
minecraft:light_gray_dye_from_ink_bonemeal - 3xitem.dyePowder@7
thermalexpansion:reservoir_11 - 1xitem.thermalexpansion.reservoir@1
enderio:dark_steel_upgrade_sound_detector - 1xitem.item_dark_steel_upgrade@1
thermalexpansion:reservoir_12 - 1xitem.thermalexpansion.reservoir@2
thermalexpansion:reservoir_13 - 1xitem.thermalexpansion.reservoir@3
thermalexpansion:reservoir_14 - 1xitem.thermalexpansion.reservoir@4
tp:compressed_5_nether - 1xtile.quintuple_compressed_nether_block@0
nuclearcraft:item.thermalfoundation.armor.constantanboots_1 - 1xitem.thermalfoundation.armor.constantanBoots@0
nuclearcraft:item.thermalfoundation.armor.constantanboots_2 - 1xitem.thermalfoundation.armor.constantanBoots@0
thermalexpansion:reservoir_10 - 1xitem.thermalexpansion.reservoir@0
extratrees:pear_fireproof_stairs - 4xtile.stairs.fireproof.pear@0
botany:clay_lemonchiffon - 1xitem.botany.clay@34
xreliquary:crafting/diamond - 2xitem.diamond@0
environmentaltech:m_resources/litherite/litherite_crystal - 4xitem.environmentaltech.litherite_crystal@0
aiotbotania:woodaxe - 1xitem.livingwoodAxe@0
nuclearcraft:item.redstonerepository.armor.enderium.gelid.boots_1 - 1xitem.redstonerepository.armor.enderium.gelid.boots@0
