"ID","Name","Description","Parent"
"appliedenergistics2:main/cable_glass","[Fluix Energy Connection]","Craft ME Glass Cable","appliedenergistics2:main/fluix"
"appliedenergistics2:main/charged_quartz","[Shocking]","Find Charged Quartz","appliedenergistics2:main/root"
"appliedenergistics2:main/charger","[Fluix Production]","Craft a Charger","appliedenergistics2:main/charged_quartz"
"appliedenergistics2:main/compass","[Meteorite Hunter]","Craft a Meteorite Compass","appliedenergistics2:main/root"
"appliedenergistics2:main/controller","[Networking Switchboard]","Craft a Controller","appliedenergistics2:main/presses"
"appliedenergistics2:main/crafting_cpu","[Next Gen Crafting]","Craft a Crafting Unit","appliedenergistics2:main/pattern_terminal"
"appliedenergistics2:main/crafting_terminal","[A (Much) Bigger Table]","Craft a Crafting Terminal","appliedenergistics2:main/controller"
"appliedenergistics2:main/facade","[Network Aesthetics]","Craft a Cable Facade","appliedenergistics2:main/cable_glass"
"appliedenergistics2:main/fluix","[Unnatural]","Create Fluix Crystals","appliedenergistics2:main/charged_quartz"
"appliedenergistics2:main/growth_accelerator","[Accelerator is an understatement]","Craft a Crystal Growth Accelerator","appliedenergistics2:main/fluix"
"appliedenergistics2:main/interface","[Recursive Networking]","Place an Interface on a storage Bus.","appliedenergistics2:main/cable_glass"
"appliedenergistics2:main/ioport","[Storage Cell Shuffle]","Craft an IO Port","appliedenergistics2:main/storage_cell"
"appliedenergistics2:main/network1","[Network Apprentice]","Reach 8 channels using devices on a network.","appliedenergistics2:main/cable_glass"
"appliedenergistics2:main/network2","[Network Engineer]","Reach 128 channels using devices on a network.","appliedenergistics2:main/network1"
"appliedenergistics2:main/network3","[Network Administrator]","Reach 2048 channels using devices on a network.","appliedenergistics2:main/network2"
"appliedenergistics2:main/network_tool","[Network Diagnostics]","Craft a Network Tool","appliedenergistics2:main/controller"
"appliedenergistics2:main/p2p","[Point to Point Networking]","Craft a P2P Tunnel","appliedenergistics2:main/cable_glass"
"appliedenergistics2:main/pattern_terminal","[Crafting Maestro]","Craft a Pattern Terminal","appliedenergistics2:main/crafting_terminal"
"appliedenergistics2:main/portable_cell","[Storage Nomad]","Craft a Portable Cell","appliedenergistics2:main/storage_cell"
"appliedenergistics2:main/presses","[Unknown Technology]","Find a Processor Press","appliedenergistics2:main/root"
"appliedenergistics2:main/qnb","[Quantum Tunneling]","Craft a Quantum Link","appliedenergistics2:main/p2p"
"appliedenergistics2:main/root","[Applied Energistics]","When a chest is simply not enough.","-"
"appliedenergistics2:main/spatial_explorer","[To boldly go]","Get stored in a spatial storage cell","appliedenergistics2:main/spatial_ioport"
"appliedenergistics2:main/spatial_ioport","[Spatial Coordination]","Craft a Spatial IO Port","appliedenergistics2:main/ioport"
"appliedenergistics2:main/storage_bus","[Limitless Potential]","Craft a Storage Bus","appliedenergistics2:main/interface"
"appliedenergistics2:main/storage_cell","[Better Than Chests]","Craft a Storage Cell","appliedenergistics2:main/controller"
"arcanearchives:amphora","[Ceci n'est pas un seau]","Craft a Radiant Amphora for easy fluid transfer with tanks.","arcanearchives:tank"
"arcanearchives:bonfire","[Hoarders]","Sort your items quickly! With ... fire?","arcanearchives:gemcutters_table"
"arcanearchives:chest","[Iridescent Storage]","Use raw quartz to convert boring chests into something bigger & beautifuler.","arcanearchives:raw_quartz"
"arcanearchives:containment_field","[Uncontainable]","Craft a Containment Field as a Tank's second upgrade.","arcanearchives:scepter_manipulation"
"arcanearchives:devouring_charm","[Open Wide, Say Aah]","Construct a method of easily disposing of your items. The Nether don't mind.","arcanearchives:scepter_manipulation"
"arcanearchives:gemcutters_table","[Romancing the Stones]","Construct a Gem Cutter's Table to increase your crafting options.","arcanearchives:raw_quartz"
"arcanearchives:guidebook","[Tome of Arcana]","Obtain or craft a Tome of Arcana and learn the secrets of the Magistocracy.","arcanearchives:root"
"arcanearchives:lectern","[Fancy]","Craft a Manifest Lectern for centralised indexing.","arcanearchives:manifest"
"arcanearchives:manifest","[Manifestly So]","Craft a Menifest to remotely peruse your network in a Gem Cutter's Table.","arcanearchives:gemcutters_table"
"arcanearchives:material_interface","[Materialism]","Craft a Material Interface for the Trove's second upgrade.","arcanearchives:scepter_manipulation"
"arcanearchives:matrix_brace","[Embracement]","Craft a Matrix Brace for the Trove & Tank's first upgrade.","arcanearchives:scepter_manipulation"
"arcanearchives:monitoring_crystal","[Big Brother]","Craft a Monitoring Crystal to track items in other inventories.","arcanearchives:gemcutters_table"
"arcanearchives:network","[One with the Hive]","Craft a Letter of Invitation to allow people to join your network.","arcanearchives:gemcutters_table"
"arcanearchives:raw_quartz","[Crystal Feeling]","Obtain your first raw quartz.","arcanearchives:resonator"
"arcanearchives:raw_quartz_cluster","[Fanciest]","Obtain a beautiful raw quartz crystal cluster with silk touch.","arcanearchives:raw_quartz"
"arcanearchives:resonator","[Frequency]","Build a Radiant Resonator -- remember to shoo away the cats.","arcanearchives:root"
"arcanearchives:root","[Arcane Archives]","Start your journey with Arcane Archives.","-"
"arcanearchives:scepter_manipulation","[Machiavelli Wannabe]","Craft a Scepter of Manipulation and begin upgrading your devices.","arcanearchives:gemcutters_table"
"arcanearchives:scepter_revelation","[Apocalypse]","Craft a Scepter of Revelation to learn more about everything.","arcanearchives:raw_quartz"
"arcanearchives:shaped_quartz_block","[Fancier]","Craft a block of Shaped Quartz as the Tank & Trove's third upgrade.","arcanearchives:scepter_manipulation"
"arcanearchives:slivers","[Anger Management]","Let the hate flow through you! Smash raw quartz to get slivers of light.","arcanearchives:raw_quartz"
"arcanearchives:tank","[That's No Panzer]","Craft a Radiant Tank in a Gem Cutter's Table. Store all the fluid!","arcanearchives:gemcutters_table"
"arcanearchives:trove","[Treasure Trove]","Craft a Radiant Trove in a Gem Cutter's Table. Store all of a thing!","arcanearchives:gemcutters_table"
"arcanearchives:workbench","[Iridescent Crafting]","Use raw quartz to convert a boring workbench into something persistent.","arcanearchives:raw_quartz"
"astralsorcery:attune_crystal","[Picking up good vibrations]","Attune a crystal to a Constellation.","astralsorcery:attune_self"
"astralsorcery:attune_self","[I can see the light]","Attune yourself to a Bright constellation.","astralsorcery:find_constellation"
"astralsorcery:attune_trait","[We have to go deeper]","Further modify the attunement of a crystal by adding a Faint trait.","astralsorcery:attune_crystal"
"astralsorcery:celestial_crystals","[Homegrown is best]","Harvest a Celestial Crystal from a Crystal Cluster.","astralsorcery:rock_crystals"
"astralsorcery:craft_t2_altar","[Upgrade complete]","Upgrade a Luminous Crafting Table into a Starlight Crafting Altar.","astralsorcery:rock_crystals"
"astralsorcery:craft_t3_altar","[Shooting across the sky]","Craft a Celestial Altar.","astralsorcery:craft_t2_altar"
"astralsorcery:craft_t4_altar","[Can you take me higher]","Craft an Iridescent Altar.","astralsorcery:craft_t3_altar"
"astralsorcery:find_constellation","[I can see clearly now]","Discover a Bright Constellation using the Looking Glass.","astralsorcery:root"
"astralsorcery:find_minor_constellation","[Is there anybody out there]","Discover a Faint Constellation using an Observatory.","astralsorcery:find_weak_constellation"
"astralsorcery:find_weak_constellation","[Gotta squint sometimes]","Discover a Dim Constellation using the Telescope.","astralsorcery:find_constellation"
"astralsorcery:perk_level_large","[It all looks so different on this side]","Develop your personal starlight to maximum level.","astralsorcery:perk_level_medium"
"astralsorcery:perk_level_medium","[No sign of the morning coming]","Develop your personal starlight to level 20.","astralsorcery:perk_level_small"
"astralsorcery:perk_level_small","[It's a start]","Develop your personal starlight to level 10.","astralsorcery:attune_self"
"astralsorcery:rock_crystals","[It's worth how much?]","Gather a Rock Crystal.","astralsorcery:root"
"astralsorcery:root","[Astral Sorcery]","Ride the light","-"
"bewitchment:crafted_altar","[Witchworker]","Craft a Stone Witches' Altar","minecraft:story/root"
"botania:challenge/desu_gun","[Two-Faced Lovers]","ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN ASADA-SAN","botania:challenge/root"
"botania:challenge/flugel_eye","[Angel of Death]","Be rewarded the Eye of the Flügel for a heroic feat","botania:challenge/root"
"botania:challenge/gaia_guardian_no_armor","[Mythologia's End]","Slay a Gaia Guardian without wearing any armor at any point during the fight","botania:challenge/root"
"botania:challenge/infinite_fruit","[Innocentia]","Be rewarded The Fruit of Grisaia for a heroic feat","botania:challenge/root"
"botania:challenge/king_key","[A Fake, Fake Psychotropic]","Be rewarded the Key of the King's Law for a heroic feat","botania:challenge/root"
