"Mod name","Registry name","BlockID","Subtypes","Item ID","Item meta","Display name","Exists","Ore Dict keys"
"AE2 Stuff","ae2stuff:encoder",328,"false",4165,0,"Pattern Encoder","true",""
"AE2 Stuff","ae2stuff:grower",329,"false",4166,0,"Crystal Growth Chamber","true",""
"AE2 Stuff","ae2stuff:inscriber",330,"false",4167,0,"Advanced Inscriber","true",""
"AE2 Stuff","ae2stuff:wireless",331,"false",4168,0,"Wireless Connector","true",""
"AIOT Botania","aiotbotania:superfarmland",3082,"false",,,"tile.superfarmland.name","true",""
"Actually Additions","actuallyadditions:block_atomic_reconstructor",4621,"false",11553,0,"Atomic Reconstructor","true",""
"Actually Additions","actuallyadditions:block_battery_box",4609,"false",11541,0,"Battery Box","true",""
"Actually Additions","actuallyadditions:block_bio_reactor",4612,"false",11544,0,"Bio Reactor","true",""
"Actually Additions","actuallyadditions:block_black_lotus",4624,"false",11556,0,"Black Lotus","true",""
"Actually Additions","actuallyadditions:block_breaker",4681,"false",11613,0,"Auto-Breaker","true",""
"Actually Additions","actuallyadditions:block_canola",4662,"false",11594,0,"Canola Plant","true",""
"Actually Additions","actuallyadditions:block_canola_oil",4599,"false",11531,0,"Canola Oil","true",""
"Actually Additions","actuallyadditions:block_canola_press",4651,"false",11583,0,"Canola Press","true",""
"Actually Additions","actuallyadditions:block_chiseled_quartz_slab",4696,"false",11628,0,"Chiseled Black Quartz Slab","true",""
"Actually Additions","actuallyadditions:block_chiseled_quartz_stair",4693,"false",11625,0,"Chiseled Black Quartz Stairs","true",""
"Actually Additions","actuallyadditions:block_chiseled_quartz_wall",4690,"false",11622,0,"Chiseled Black Quartz Wall","true",""
"Actually Additions","actuallyadditions:block_coal_generator",4658,"false",11590,0,"Coal Generator","true",""
"Actually Additions","actuallyadditions:block_coffee",4664,"false",11596,0,"Coffee Plant","true",""
"Actually Additions","actuallyadditions:block_coffee_machine",4686,"false",11618,0,"Coffee Maker","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,0,"White Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,1,"Orange Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,2,"Magenta Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,3,"Light Blue Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,4,"Yellow Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,5,"Lime Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,6,"Pink Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,7,"Gray Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,8,"Light Gray Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,9,"Cyan Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,10,"Purple Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,11,"Blue Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,12,"Brown Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,13,"Green Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,14,"Red Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp",4644,"true",11576,15,"Black Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,0,"White Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,1,"Orange Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,2,"Magenta Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,3,"Light Blue Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,4,"Yellow Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,5,"Lime Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,6,"Pink Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,7,"Gray Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,8,"Light Gray Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,9,"Cyan Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,10,"Purple Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,11,"Blue Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,12,"Brown Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,13,"Green Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,14,"Red Lamp","true",""
"Actually Additions","actuallyadditions:block_colored_lamp_on",4645,"true",11577,15,"Black Lamp","true",""
"Actually Additions","actuallyadditions:block_compost",4665,"false",11597,0,"Compost","true",""
"Actually Additions","actuallyadditions:block_crystal",4622,"true",11554,0,"Restonia Crystal Block","true","blockRestonia"
"Actually Additions","actuallyadditions:block_crystal",4622,"true",11554,1,"Palis Crystal Block","true","blockPalis"
"Actually Additions","actuallyadditions:block_crystal",4622,"true",11554,2,"Diamatine Crystal Block","true","blockDiamantine"
"Actually Additions","actuallyadditions:block_crystal",4622,"true",11554,3,"Void Crystal Block","true","blockVoid"
"Actually Additions","actuallyadditions:block_crystal",4622,"true",11554,4,"Emeradic Crystal Block","true","blockEmeradic"
"Actually Additions","actuallyadditions:block_crystal",4622,"true",11554,5,"Enori Crystal Block","true","blockEnori"
"Actually Additions","actuallyadditions:block_crystal_cluster_coal",4606,"false",11538,0,"Black Crystal Cluster","true",""
