"Registry name","Meta/dmg","Display name","Ore Dict Keys","NBT"
"actuallyadditions:block_misc",2,"Block of Black Quartz","blockQuartzBlack",""
"actuallyadditions:block_misc",3,"Black Quartz Ore","oreQuartzBlack",""
"actuallyadditions:block_misc",5,"Block of Charcoal","blockCharcoal",""
"actuallyadditions:item_canola_seed",0,"Canola Seeds","seedCanola",""
"actuallyadditions:item_coffee_beans",0,"Coffee Beans","cropCoffee",""
"actuallyadditions:item_coffee_seed",0,"Coffee Seeds","seedCoffee",""
"actuallyadditions:item_dust",0,"Crushed Iron","dustIron",""
"actuallyadditions:item_dust",1,"Crushed Gold","dustGold",""
"actuallyadditions:item_dust",2,"Crushed Diamond","dustDiamond",""
"actuallyadditions:item_dust",3,"Crushed Emerald","dustEmerald",""
"actuallyadditions:item_dust",4,"Crushed Lapis","dustLapis",""
"actuallyadditions:item_dust",5,"Crushed Quartz","dustNetherQuartz,dustQuartz",""
"actuallyadditions:item_dust",6,"Crushed Coal","dustCoal",""
"actuallyadditions:item_dust",7,"Crushed Black Quartz","dustQuartzBlack",""
"actuallyadditions:item_flax_seed",0,"Flax Seeds","seedFlax",""
"actuallyadditions:item_food",10,"Toast","bread",""
"actuallyadditions:item_food",15,"Baguette","bread",""
"actuallyadditions:item_food",16,"Rice","cropRice",""
"actuallyadditions:item_food",17,"Rice Bread","bread",""
"actuallyadditions:item_food",19,"Toast o' Chocolate","bread",""
"actuallyadditions:item_hoe_crystal_black",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_hoe_crystal_blue",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_hoe_crystal_green",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_hoe_crystal_light_blue",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_hoe_crystal_red",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_hoe_crystal_white",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_hoe_emerald",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_hoe_obsidian",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_hoe_quartz",32767,"(WILDCARD)","toolHoe",""
"actuallyadditions:item_misc",5,"Black Quartz","gemQuartzBlack",""
"actuallyadditions:item_misc",12,"Rice Slimeball","slimeball",""
"actuallyadditions:item_misc",13,"Canola","cropCanola",""
"actuallyadditions:item_misc",17,"Black Dye","dye,dyeBlack",""
"actuallyadditions:item_rice_seed",0,"Rice Seeds","seedRice",""
"agricraft:agri_nugget",0,"Emerald Nugget","nuggetEmerald",""
"agricraft:agri_nugget",1,"Diamond Nugget","nuggetDiamond",""
"agricraft:agri_nugget",2,"Quartz Shard","nuggetQuartz",""
"agricraft:agri_nugget",3,"Iron Nugget","nuggetIron",""
"agricraft:agri_nugget",4,"Copper Nugget","nuggetCopper",""
"agricraft:agri_nugget",5,"Tin Nugget","nuggetTin",""
"agricraft:agri_nugget",6,"Lead Nugget","nuggetLead",""
"agricraft:agri_nugget",7,"Silver Nugget","nuggetSilver",""
"agricraft:agri_nugget",8,"Aluminum Nugget","nuggetAluminum",""
"agricraft:agri_nugget",9,"Nickel Nugget","nuggetNickel",""
"agricraft:agri_nugget",10,"Platinum Nugget","nuggetPlatinum",""
"agricraft:agri_nugget",11,"Osmium Nugget","nuggetOsmium",""
"agricraft:agri_nugget",12,"Unknown Fragment","nuggetUnknown",""
"appliedenergistics2:certus_quartz_cutting_knife",0,"Certus Quartz Cutting Knife","itemQuartzKnife",""
"appliedenergistics2:certus_quartz_hoe",32767,"(WILDCARD)","toolHoe",""
"appliedenergistics2:certus_quartz_wrench",0,"Certus Quartz Wrench","itemQuartzWrench",""
"appliedenergistics2:charged_quartz_ore",0,"Charged Certus Quartz Ore","oreCertusQuartz,oreChargedCertusQuartz",""
"appliedenergistics2:material",0,"Certus Quartz Crystal","crystalCertusQuartz,gemCertusQuartz",""
"appliedenergistics2:material",1,"Charged Certus Quartz Crystal","gemChargedCertusQuartz",""
"appliedenergistics2:material",2,"Certus Quartz Dust","dustCertusQuartz",""
"appliedenergistics2:material",3,"Nether Quartz Dust","dustNetherQuartz,dustQuartz",""
"appliedenergistics2:material",4,"Flour","dustWheat",""
"appliedenergistics2:material",5,"Silicon","itemSilicon",""
"appliedenergistics2:material",7,"Fluix Crystal","crystalFluix,gemFluix",""
"appliedenergistics2:material",8,"Fluix Dust","dustFluix",""
"appliedenergistics2:material",9,"Fluix Pearl","pearlFluix",""
"appliedenergistics2:material",10,"Pure Certus Quartz Crystal","crystalPureCertusQuartz",""
"appliedenergistics2:material",11,"Pure Nether Quartz Crystal","crystalPureNetherQuartz",""
"appliedenergistics2:material",12,"Pure Fluix Crystal","crystalPureFluix",""
"appliedenergistics2:material",40,"Wooden Gear","gearWood",""
"appliedenergistics2:material",46,"Ender Dust","dustEnder,dustEnderPearl",""
"appliedenergistics2:material",49,"Iron Dust","dustIron",""
"appliedenergistics2:material",51,"Gold Dust","dustGold",""
"appliedenergistics2:nether_quartz_cutting_knife",0,"Nether Quartz Cutting Knife","itemQuartzKnife",""
"appliedenergistics2:nether_quartz_hoe",32767,"(WILDCARD)","toolHoe",""
"appliedenergistics2:nether_quartz_wrench",0,"Nether Quartz Wrench","itemQuartzWrench",""
"appliedenergistics2:part",160,"Bright Illuminated Panel","itemIlluminatedPanel",""
"appliedenergistics2:part",180,"Illuminated Panel","itemIlluminatedPanel",""
"appliedenergistics2:part",200,"Dark Illuminated Panel","itemIlluminatedPanel",""
"appliedenergistics2:quartz_ore",0,"Certus Quartz Ore","oreCertusQuartz",""
"astralsorcery:blockcustomore",1,"Starmetal Ore","oreAstralStarmetal",""
"astralsorcery:blockcustomsandore",0,"Aquamarine Shale","oreAquamarine",""
"astralsorcery:blockmarble",0,"Marble","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",1,"Marble Bricks","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",2,"Marble Pillar","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",3,"Marble Arch","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",4,"Chiseled Marble","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",5,"Engraved Marble","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",6,"Runed Marble","blockMarble,stoneMarble",""
"astralsorcery:itemcraftingcomponent",0,"Aquamarine","gemAquamarine",""
"astralsorcery:itemcraftingcomponent",1,"Starmetal Ingot","ingotAstralStarmetal",""
"astralsorcery:itemcraftingcomponent",2,"Stardust","dustAstralStarmetal",""
"avaritia:block_resource",0,"Neutronium Block","blockCosmicNeutronium",""
"avaritia:block_resource",1,"Infinity Block","blockInfinity",""
"avaritia:block_resource",2,"Crystal Matrix","blockCrystalMatrix",""
"avaritia:resource",1,"Crystal Matrix Ingot","ingotCrystalMatrix",""
"avaritia:resource",3,"Neutronium Nugget","nuggetCosmicNeutronium",""
"avaritia:resource",4,"Neutronium Ingot","ingotCosmicNeutronium",""
"avaritia:resource",6,"Infinity Ingot","ingotInfinity",""
"avaritiaio:grindingballinfinity",0,"Infinity Grinding Ball","ballInfinity",""
"avaritiaio:grindingballneutronium",0,"Neutronium Grinding Ball","ballNeutronium",""
"bewitchment:aconitum",0,"Aconitum","cropAconitum",""
"bewitchment:aconitum_seeds",0,"Aconitum Seeds","listAllseed",""
"bewitchment:amethyst",0,"Amethyst","gemAll,gemAmethyst",""
"bewitchment:amethyst_ore",0,"Amethyst Ore","oreAmethyst",""
"bewitchment:belladonna",0,"Belladonna","cropBelladonna",""
"bewitchment:belladonna_seeds",0,"Belladonna Seeds","listAllseed",""
"bewitchment:block_of_amethyst",0,"Block of Amethyst","blockAmethyst",""
"bewitchment:block_of_cold_iron",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_bevel",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_cup",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_moon",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_pentacle",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_pentagram",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_sun",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_sword",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_symbol",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_cold_iron_wand",0,"Block of Cold Iron","blockColdIron",""
"bewitchment:block_of_garnet",0,"Block of Garnet","blockGarnet",""
"bewitchment:block_of_opal",0,"Block of Opal","blockOpal",""
"bewitchment:block_of_salt",0,"Block of Salt","blockSalt",""
"bewitchment:block_of_silver",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_bevel",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_cup",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_moon",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_pentacle",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_pentagram",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_sun",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_sword",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_symbol",0,"Block of Silver","blockSilver",""
"bewitchment:block_of_silver_wand",0,"Block of Silver","blockSilver",""
"bewitchment:catechu_brown",0,"Catechu Brown","dye,dyeBrown",""
"bewitchment:cold_iron_ingot",0,"Cold Iron Ingot","ingotColdIron",""
"bewitchment:cold_iron_nugget",0,"Cold Iron Nugget","nuggetColdIron",""
"bewitchment:coquina",0,"Coquina","coquina",""
"bewitchment:coquina_shell",0,"Coquina","coquina",""
"bewitchment:coquina_smooth",0,"Coquina","coquina",""
"bewitchment:cypress_fence",0,"Cypress Fence","fenceWood",""
"bewitchment:cypress_fence_gate",0,"Cypress Fence Gate","fenceGateWood",""
"bewitchment:cypress_leaves",0,"Cypress Leaves","treeLeaves",""
"bewitchment:cypress_planks",0,"Cypress Planks","plankWood",""
"bewitchment:cypress_sapling",0,"Cypress Sapling","treeSapling",""
"bewitchment:cypress_wood",0,"Cypress Wood","logWood",""
"bewitchment:cypress_wood_slab",0,"Cypress Wood Slab","slabWood",""
"bewitchment:cypress_wood_stairs",0,"Cypress Wood Stairs","stairWood",""
"bewitchment:elder_fence",0,"Elder Fence","fenceWood",""
