"Registry Name","Spawned ID","Egg primary color","Egg secondary color"
"artifacts:mimic","artifacts:mimic","0x00B27725 (  11695909)","0x00261701 (   2496257)"
"bewitchment:black_dog","bewitchment:black_dog","0x00000000 (         0)","0x00000000 (         0)"
"bewitchment:demon","bewitchment:demon","0x00555555 (   5592405)","0x00ED2939 (  15542585)"
"bewitchment:demoness","bewitchment:demoness","0x00555555 (   5592405)","0x00ED2939 (  15542585)"
"bewitchment:hellhound","bewitchment:hellhound","0x00555555 (   5592405)","0x00ED2939 (  15542585)"
"bewitchment:imp","bewitchment:imp","0x00555555 (   5592405)","0x00ED2939 (  15542585)"
"bewitchment:lizard","bewitchment:lizard","0x00568203 (   5669379)","0x000070BB (     28859)"
"bewitchment:newt","bewitchment:newt","0x00000000 (         0)","0x00FFD300 (  16765696)"
"bewitchment:owl","bewitchment:owl","0x00AF813F (  11501887)","0x006E5127 (   7229735)"
"bewitchment:raven","bewitchment:raven","0x00222222 (   2236962)","0x00280638 (   2623032)"
"bewitchment:serpent","bewitchment:serpent","0x00555555 (   5592405)","0x00FF9966 (  16750950)"
"bewitchment:snake","bewitchment:snake","0x00FF9779 (  16750457)","0x00696969 (   6908265)"
"bewitchment:toad","bewitchment:toad","0x00A9BA9D (  11123357)","0x00C3B091 (  12824721)"
"cyclicmagic:robot","cyclicmagic:robot","0x009FFFDE (  10485726)","0x00DE6F33 (  14577459)"
"deepmoblearning:glitch","deepmoblearning:glitch","0x00000000 (         0)","0x0062D8FF (   6478079)"
"embers:ancient_golem","embers:ancient_golem","0x00302623 (   3155491)","0x004F423D (   5194301)"
"enderutilities:endermanfighter","enderutilities:endermanfighter","0x00161616 (   1447446)","0x001947DC (   1656796)"
"enderzoo:concussioncreeper","enderzoo:concussioncreeper","0x0056FF8E (   5701518)","0x00FF0A22 (  16714274)"
"enderzoo:direslime","enderzoo:direslime","0x00B9855C (  12158300)","0x00593D29 (   5848361)"
"enderzoo:direwolf","enderzoo:direwolf","0x00606060 (   6316128)","0x00A0A0A0 (  10526880)"
"enderzoo:enderminy","enderzoo:enderminy","0x0027624D (   2581069)","0x00212121 (   2171169)"
"enderzoo:fallenknight","enderzoo:fallenknight","0x00A0A0A0 (  10526880)","0x00365A25 (   3562021)"
"enderzoo:fallenmount","enderzoo:fallenmount","0x00365A25 (   3562021)","0x00A0A0A0 (  10526880)"
"enderzoo:owl","enderzoo:owl","0x00C17949 (  12679497)","0x00FFDDC6 (  16768454)"
"enderzoo:withercat","enderzoo:withercat","0x00303030 (   3158064)","0x00FFFFFF (  16777215)"
"enderzoo:witherwitch","enderzoo:witherwitch","0x0026520D (   2511373)","0x00905E43 (   9461315)"
"industrialforegoing:pink_slime","industrialforegoing:pink_slime","0x00A00064 (  10485860)","0x00FFFFFF (  16777215)"
"mekanism:babyskeleton","mekanism:babyskeleton","0x00FFFFFF (  16777215)","0x00800080 (   8388736)"
"minecraft:bat","minecraft:bat","0x004C3E30 (   4996656)","0x000F0F0F (    986895)"
"minecraft:blaze","minecraft:blaze","0x00F6B201 (  16167425)","0x00FFF87E (  16775294)"
"minecraft:cave_spider","minecraft:cave_spider","0x000C424E (    803406)","0x00A80E0E (  11013646)"
"minecraft:chicken","minecraft:chicken","0x00A1A1A1 (  10592673)","0x00FF0000 (  16711680)"
"minecraft:cow","minecraft:cow","0x00443626 (   4470310)","0x00A1A1A1 (  10592673)"
"minecraft:creeper","minecraft:creeper","0x000DA70B (    894731)","0x00000000 (         0)"
"minecraft:donkey","minecraft:donkey","0x00534539 (   5457209)","0x00867566 (   8811878)"
"minecraft:elder_guardian","minecraft:elder_guardian","0x00CECCBA (  13552826)","0x00747693 (   7632531)"
"minecraft:enderman","minecraft:enderman","0x00161616 (   1447446)","0x00000000 (         0)"
"minecraft:endermite","minecraft:endermite","0x00161616 (   1447446)","0x006E6E6E (   7237230)"
"minecraft:evocation_illager","minecraft:evocation_illager","0x00959B9B (   9804699)","0x001E1C1A (   1973274)"
"minecraft:ghast","minecraft:ghast","0x00F9F9F9 (  16382457)","0x00BCBCBC (  12369084)"
"minecraft:guardian","minecraft:guardian","0x005A8272 (   5931634)","0x00F17D30 (  15826224)"
"minecraft:horse","minecraft:horse","0x00C09E7D (  12623485)","0x00EEE500 (  15656192)"
"minecraft:husk","minecraft:husk","0x00797061 (   7958625)","0x00E6CC94 (  15125652)"
"minecraft:llama","minecraft:llama","0x00C09E7D (  12623485)","0x00995F40 (  10051392)"
"minecraft:magma_cube","minecraft:magma_cube","0x00340000 (   3407872)","0x00FCFC00 (  16579584)"
"minecraft:mooshroom","minecraft:mooshroom","0x00A00F10 (  10489616)","0x00B7B7B7 (  12040119)"
"minecraft:mule","minecraft:mule","0x001B0200 (   1769984)","0x0051331D (   5321501)"
"minecraft:ocelot","minecraft:ocelot","0x00EFDE7D (  15720061)","0x00564434 (   5653556)"
