"Class","Registry name","Ticking?"
"WayofTime.bloodmagic.tile.TileAlchemyArray","bloodmagic:alchemy_array","yes"
"WayofTime.bloodmagic.tile.TileAlchemyTable","bloodmagic:alchemy_table","yes"
"WayofTime.bloodmagic.tile.TileAltar","bloodmagic:altar","yes"
"WayofTime.bloodmagic.tile.TileBloodTank","bloodmagic:blood_tank","-"
"WayofTime.bloodmagic.tile.TileDemonCrucible","bloodmagic:demon_crucible","yes"
"WayofTime.bloodmagic.tile.TileDemonCrystal","bloodmagic:demon_crystal","yes"
"WayofTime.bloodmagic.tile.TileDemonCrystallizer","bloodmagic:demon_crystallizer","yes"
"WayofTime.bloodmagic.tile.TileDemonPylon","bloodmagic:demon_pylon","yes"
"WayofTime.bloodmagic.tile.TileDimensionalPortal","bloodmagic:dimensional_portal","-"
"WayofTime.bloodmagic.tile.TileImperfectRitualStone","bloodmagic:imperfect_ritual_stone","-"
"WayofTime.bloodmagic.tile.TileIncenseAltar","bloodmagic:incense_altar","yes"
"WayofTime.bloodmagic.tile.TileInversionPillar","bloodmagic:inversion_pillar","yes"
"WayofTime.bloodmagic.tile.TileMasterRitualStone","bloodmagic:master_ritual_stone","yes"
"WayofTime.bloodmagic.tile.TileMimic","bloodmagic:mimic","yes"
"WayofTime.bloodmagic.tile.TilePhantomBlock","bloodmagic:phantom_block","yes"
"WayofTime.bloodmagic.tile.TileSoulForge","bloodmagic:soul_forge","yes"
"WayofTime.bloodmagic.tile.TileSpectralBlock","bloodmagic:spectral_block","yes"
"WayofTime.bloodmagic.tile.TileTeleposer","bloodmagic:teleposer","yes"
"WayofTime.bloodmagic.tile.routing.TileInputRoutingNode","bloodmagic:input_routing_node","yes"
"WayofTime.bloodmagic.tile.routing.TileItemRoutingNode","bloodmagic:item_routing_node","yes"
"WayofTime.bloodmagic.tile.routing.TileMasterRoutingNode","bloodmagic:master_routing_node","yes"
"WayofTime.bloodmagic.tile.routing.TileOutputRoutingNode","bloodmagic:output_routing_node","yes"
"abused_master.industrialmeat.tileentity.TileEntityMeatPacker","minecraft:tile_meatpacker","yes"
"appeng.fluids.tile.TileFluidInterface","appliedenergistics2:fluid_interface","-"
"appeng.tile.crafting.TileCraftingMonitorTile","appliedenergistics2:crafting_monitor","-"
"appeng.tile.crafting.TileCraftingStorageTile","appliedenergistics2:crafting_storage","-"
"appeng.tile.crafting.TileCraftingTile","appliedenergistics2:crafting_unit","-"
"appeng.tile.crafting.TileMolecularAssembler","appliedenergistics2:molecular_assembler","-"
"appeng.tile.grindstone.TileCrank","appliedenergistics2:crank","yes"
"appeng.tile.grindstone.TileGrinder","appliedenergistics2:grindstone","-"
"appeng.tile.misc.TileCellWorkbench","appliedenergistics2:cell_workbench","-"
"appeng.tile.misc.TileCharger","appliedenergistics2:charger","-"
"appeng.tile.misc.TileCondenser","appliedenergistics2:condenser","-"
"appeng.tile.misc.TileInscriber","appliedenergistics2:inscriber","-"
"appeng.tile.misc.TileInterface","appliedenergistics2:interface","-"
"appeng.tile.misc.TileLightDetector","appliedenergistics2:light_detector","yes"
"appeng.tile.misc.TilePaint","appliedenergistics2:paint","-"
"appeng.tile.misc.TileQuartzGrowthAccelerator","appliedenergistics2:quartz_growth_accelerator","-"
"appeng.tile.misc.TileSecurityStation","appliedenergistics2:security_station","-"
"appeng.tile.misc.TileSkyCompass","appliedenergistics2:sky_compass","-"
"appeng.tile.misc.TileVibrationChamber","appliedenergistics2:vibration_chamber","-"
"appeng.tile.networking.TileCableBus","appliedenergistics2:blockcablebus","-"
"appeng.tile.networking.TileCableBusTESR","appliedenergistics2:clientonly_tesr_cablebus","-"
"appeng.tile.networking.TileController","appliedenergistics2:controller","-"
"appeng.tile.networking.TileCreativeEnergyCell","appliedenergistics2:creative_energy_cell","-"
"appeng.tile.networking.TileDenseEnergyCell","appliedenergistics2:dense_energy_cell","-"
"appeng.tile.networking.TileEnergyAcceptor","appliedenergistics2:energy_acceptor","-"
"appeng.tile.networking.TileEnergyCell","appliedenergistics2:energy_cell","-"
"appeng.tile.networking.TileWireless","appliedenergistics2:wireless_access_point","-"
"appeng.tile.qnb.TileQuantumBridge","appliedenergistics2:quantum_ring","yes"
"appeng.tile.spatial.TileSpatialIOPort","appliedenergistics2:spatial_io_port","-"
"appeng.tile.spatial.TileSpatialPylon","appliedenergistics2:spatial_pylon","-"
"appeng.tile.storage.TileChest","appliedenergistics2:chest","yes"
"appeng.tile.storage.TileDrive","appliedenergistics2:drive","-"
"appeng.tile.storage.TileIOPort","appliedenergistics2:io_port","-"
"appeng.tile.storage.TileSkyChest","appliedenergistics2:sky_stone_chest","yes"
"arcaratus.bloodarsenal.tile.TileAltareAenigmatica","bloodarsenal:altare_aenigmatica","yes"
"arcaratus.bloodarsenal.tile.TileBloodCapacitor","bloodarsenal:blood_capacitor","yes"
"arcaratus.bloodarsenal.tile.TileStasisPlate","bloodarsenal:stasis_plate","-"
"betterquesting.blocks.TileSubmitStation","betterquesting:submit_station","yes"
"binnie.botany.tile.TileCeramic","minecraft:botany.tile.ceramic","-"
"binnie.botany.tile.TileCeramicBrick","minecraft:botany.tile.ceramicbrick","-"
"binnie.botany.tile.TileEntityFlower","minecraft:botany.tile.flower","-"
"binnie.core.block.TileEntityMetadata","minecraft:binnie.tile.metadata","-"
"binnie.core.machines.TileEntityMachine","minecraft:binnie.tile.machine","yes"
"binnie.core.machines.TileEntityTESRMachine","minecraft:binnie.tile.machine.tesr","yes"
"binnie.extrabees.machines.TileExtraBeeAlveary","minecraft:extrabees.tile.alveary","yes"
"binnie.extratrees.machines.nursery.TileEntityNursery","minecraft:binnie.tile.nursery","yes"
"blusunrize.immersiveengineering.common.blocks.BlockFakeLight$TileEntityFakeLight","immersiveengineering:fakelight","yes"
"blusunrize.immersiveengineering.common.blocks.TileEntityIESlab","immersiveengineering:ieslab","-"
"blusunrize.immersiveengineering.common.blocks.cloth.TileEntityBalloon","immersiveengineering:balloon","yes"
"blusunrize.immersiveengineering.common.blocks.cloth.TileEntityShaderBanner","immersiveengineering:shaderbanner","-"
"blusunrize.immersiveengineering.common.blocks.cloth.TileEntityStripCurtain","immersiveengineering:stripcurtain","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityArcFurnace","immersiveengineering:arcfurnace","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityAssembler","immersiveengineering:assembler","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityAutoWorkbench","immersiveengineering:autoworkbench","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityBelljar","immersiveengineering:belljar","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityBlastFurnacePreheater","immersiveengineering:blastfurnacepreheater","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityBottlingMachine","immersiveengineering:bottlingmachine","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityBreakerSwitch","immersiveengineering:breakerswitch","-"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityBucketWheel","immersiveengineering:bucketwheel","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorCreative","immersiveengineering:capacitorcreative","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorHV","immersiveengineering:capacitorhv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorLV","immersiveengineering:capacitorlv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityCapacitorMV","immersiveengineering:capacitormv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityChargingStation","immersiveengineering:chargingstation","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorHV","immersiveengineering:connectorhv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorLV","immersiveengineering:connectorlv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorMV","immersiveengineering:connectormv","yes"
"blusunrize.immersiveengineering.common.blocks.metal.TileEntityConnectorProbe","immersiveengineering:connectorprobe","yes"
