+-----------------------------------------+---------------------------------------------------------------------------------------+--------------------------------------------+--------------------------------------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                                                                                                                            |
| of the Block class in question. The actual final values may be different                                                                                                                                                  |
| for different states of the block, or they may depend on a TileEntity etc.                                                                                                                                                |
+-----------------------------------------+---------------------------------------------------------------------------------------+--------------------------------------------+--------------------------------------------+
| Mod name                                | Registry name                                                                         |                                   Hardness |                                 Resistance |
+-----------------------------------------+---------------------------------------------------------------------------------------+--------------------------------------------+--------------------------------------------+
| AE2 Stuff                               | ae2stuff:encoder                                                                      |                                       1.00 |                                       5.00 |
| AE2 Stuff                               | ae2stuff:grower                                                                       |                                       1.00 |                                       5.00 |
| AE2 Stuff                               | ae2stuff:inscriber                                                                    |                                       1.00 |                                       5.00 |
| AE2 Stuff                               | ae2stuff:wireless                                                                     |                                       1.00 |                                       5.00 |
| AIOT Botania                            | aiotbotania:superfarmland                                                             |                                       0.60 |                                       3.00 |
| Actually Additions                      | actuallyadditions:block_atomic_reconstructor                                          |                                      10.00 |                                     240.00 |
| Actually Additions                      | actuallyadditions:block_battery_box                                                   |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_bio_reactor                                                   |                                       2.00 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_black_lotus                                                   |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_breaker                                                       |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_canola                                                        |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_canola_oil                                                    |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_canola_press                                                  |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_chiseled_quartz_slab                                          |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_chiseled_quartz_stair                                         |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_chiseled_quartz_wall                                          |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_coal_generator                                                |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_coffee                                                        |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_coffee_machine                                                |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_colored_lamp                                                  |                                       0.50 |                                       9.00 |
| Actually Additions                      | actuallyadditions:block_colored_lamp_on                                               |                                       0.50 |                                       9.00 |
| Actually Additions                      | actuallyadditions:block_compost                                                       |                                       0.50 |                                      15.00 |
| Actually Additions                      | actuallyadditions:block_crystal                                                       |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_crystal_cluster_coal                                          |                                       0.25 |                                       3.00 |
| Actually Additions                      | actuallyadditions:block_crystal_cluster_diamond                                       |                                       0.25 |                                       3.00 |
| Actually Additions                      | actuallyadditions:block_crystal_cluster_emerald                                       |                                       0.25 |                                       3.00 |
| Actually Additions                      | actuallyadditions:block_crystal_cluster_iron                                          |                                       0.25 |                                       3.00 |
| Actually Additions                      | actuallyadditions:block_crystal_cluster_lapis                                         |                                       0.25 |                                       3.00 |
| Actually Additions                      | actuallyadditions:block_crystal_cluster_redstone                                      |                                       0.25 |                                       3.00 |
| Actually Additions                      | actuallyadditions:block_crystal_empowered                                             |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_crystal_oil                                                   |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_directional_breaker                                           |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_display_stand                                                 |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_dropper                                                       |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_empowered_oil                                                 |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_empowerer                                                     |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_energizer                                                     |                                       2.00 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_enervator                                                     |                                       2.00 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_farmer                                                        |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_feeder                                                        |                                       0.50 |                                      18.00 |
| Actually Additions                      | actuallyadditions:block_fermenting_barrel                                             |                                       0.50 |                                      15.00 |
| Actually Additions                      | actuallyadditions:block_firework_box                                                  |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_fishing_net                                                   |                                       0.50 |                                       9.00 |
| Actually Additions                      | actuallyadditions:block_flax                                                          |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_fluid_collector                                               |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_fluid_placer                                                  |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_furnace_double                                                |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_furnace_solar                                                 |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_giant_chest                                                   |                                       0.50 |                                      45.00 |
| Actually Additions                      | actuallyadditions:block_giant_chest_large                                             |                                       0.50 |                                      45.00 |
| Actually Additions                      | actuallyadditions:block_giant_chest_medium                                            |                                       0.50 |                                      45.00 |
| Actually Additions                      | actuallyadditions:block_greenhouse_glass                                              |                                       0.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_grinder                                                       |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_grinder_double                                                |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_heat_collector                                                |                                       2.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_inputter                                                      |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_inputter_advanced                                             |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_item_repairer                                                 |                                      20.00 |                                      45.00 |
| Actually Additions                      | actuallyadditions:block_item_viewer                                                   |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_item_viewer_hopping                                           |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_lamp_powerer                                                  |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_laser_relay                                                   |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_laser_relay_advanced                                          |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_laser_relay_extreme                                           |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_laser_relay_fluids                                            |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_laser_relay_item                                              |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_laser_relay_item_whitelist                                    |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_lava_factory_controller                                       |                                       4.50 |                                      60.00 |
| Actually Additions                      | actuallyadditions:block_leaf_generator                                                |                                       5.00 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_miner                                                         |                                       8.00 |                                      90.00 |
| Actually Additions                      | actuallyadditions:block_misc                                                          |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_oil_generator                                                 |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_phantom_booster                                               |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_phantom_breaker                                               |                                       4.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_phantom_energyface                                            |                                       4.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_phantom_liquiface                                             |                                       4.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_phantom_placer                                                |                                       4.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_phantom_redstoneface                                          |                                       4.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_phantomface                                                   |                                       4.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_pillar_quartz_slab                                            |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_pillar_quartz_stair                                           |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_pillar_quartz_wall                                            |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_placer                                                        |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_player_interface                                              |                                       4.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_quartz_slab                                                   |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_quartz_stair                                                  |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_quartz_wall                                                   |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_ranged_collector                                              |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_refined_canola_oil                                            |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_rice                                                          |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_shock_suppressor                                              |                                      20.00 |                                    6000.00 |
| Actually Additions                      | actuallyadditions:block_smiley_cloud                                                  |                                       0.50 |                                      15.00 |
| Actually Additions                      | actuallyadditions:block_testifi_bucks_green_fence                                     |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_testifi_bucks_green_slab                                      |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_testifi_bucks_green_stairs                                    |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_testifi_bucks_green_wall                                      |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_testifi_bucks_white_fence                                     |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_testifi_bucks_white_slab                                      |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_testifi_bucks_white_stairs                                    |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_testifi_bucks_white_wall                                      |                                       1.50 |                                      30.00 |
| Actually Additions                      | actuallyadditions:block_tiny_torch                                                    |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_treasure_chest                                                |                                     300.00 |                                     150.00 |
| Actually Additions                      | actuallyadditions:block_wild                                                          |                                       0.00 |                                       0.00 |
| Actually Additions                      | actuallyadditions:block_xp_solidifier                                                 |                                       2.50 |                                      30.00 |
| Advanced Generators                     | advgenerators:control                                                                 |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:efficiency_upgrade_tier1                                                |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:efficiency_upgrade_tier2                                                |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:exchanger_controller                                                    |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:fluid_input                                                             |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:fluid_output_select                                                     |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:forge_output                                                            |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:fuel_tank                                                               |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:gas_input                                                               |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:generators_data_port                                                    |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:heat_exchanger                                                          |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:heating_chamber                                                         |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:item_input                                                              |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:item_output                                                             |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:mixing_chamber                                                          |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_advanced                                                |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:power_capacitor_awakened draconium                                      |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_conductive iron                                         |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_crystaltine                                             |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:power_capacitor_dense                                                   |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:power_capacitor_electronium                                             |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_graphite                                                |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_infinity                                                |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_lithium                                                 |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_lithium manganese dioxide                               |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_lumium                                                  |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_modularium                                              |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_redstone                                                |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_signalum                                                |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:power_capacitor_sodium                                                  |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_stellar                                                 |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_superconductor                                          |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:power_capacitor_ultimate                                                |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:pressure_input                                                          |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:pressure_output_select                                                  |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:rf_output                                                               |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:sensor                                                                  |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:steam                                                                   |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:steam_turbine_controller                                                |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:syngas                                                                  |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:syngas_controller                                                       |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:syngas_flaming                                                          |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:tesla_output                                                            |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_adv_alloy                                                       |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:turbine_awakened draconium                                              |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_bronze                                                          |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_compressed iron                                                 |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_controller                                                      |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_crystaltine                                                     |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:turbine_draconium                                                       |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_enderium                                                        |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:turbine_gold                                                            |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:turbine_hsla steel                                                      |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_infinity                                                        |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_iron                                                            |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_manyullyn                                                       |                                       0.00 |                                       0.00 |
| Advanced Generators                     | advgenerators:turbine_osgloglas                                                       |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_protoneutronium                                                 |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_steel                                                           |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_stellar                                                         |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_titanium                                                        |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_tungstensteel                                                   |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_ultimate                                                        |                                       1.00 |                                       5.00 |
| Advanced Generators                     | advgenerators:turbine_vibrant                                                         |                                       0.00 |                                       0.00 |
| Advanced Lifting Methods                | advancedliftingmethods:advanced_blowing_elevator                                      |                                       3.50 |                                      17.50 |
| Advanced Lifting Methods                | advancedliftingmethods:advanced_ender_elevator                                        |                                       3.50 |                                      17.50 |
| Advanced Lifting Methods                | advancedliftingmethods:blowing_elevator                                               |                                       3.50 |                                      17.50 |
| Advanced Lifting Methods                | advancedliftingmethods:double_acacia_stairs                                           |                                       2.00 |                                       9.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_acacia_stairs_top                                       |                                       2.00 |                                      15.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_birch_stairs                                            |                                       2.00 |                                       9.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_birch_stairs_top                                        |                                       2.00 |                                      15.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_brick_stairs                                            |                                       2.00 |                                      18.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_brick_stairs_top                                        |                                       2.00 |                                      30.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_cobblestone_stairs                                      |                                       2.00 |                                      18.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_cobblestone_stairs_top                                  |                                       2.00 |                                      30.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_dark_oak_stairs                                         |                                       2.00 |                                       9.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_dark_oak_stairs_top                                     |                                       2.00 |                                      15.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_jungle_stairs                                           |                                       2.00 |                                       9.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_jungle_stairs_top                                       |                                       2.00 |                                      15.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_nether_brick_stairs                                     |                                       2.00 |                                      18.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_nether_brick_stairs_top                                 |                                       2.00 |                                      30.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_oak_stairs                                              |                                       2.00 |                                       9.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_oak_stairs_top                                          |                                       2.00 |                                      15.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_purpur_stairs                                           |                                       1.50 |                                      18.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_purpur_stairs_top                                       |                                       1.50 |                                      30.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_quartz_stairs                                           |                                       0.80 |                                       2.40 |
| Advanced Lifting Methods                | advancedliftingmethods:double_quartz_stairs_top                                       |                                       0.80 |                                       4.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_red_sandstone_stairs                                    |                                       0.80 |                                       2.40 |
| Advanced Lifting Methods                | advancedliftingmethods:double_red_sandstone_stairs_top                                |                                       0.80 |                                       4.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_sandstone_stairs                                        |                                       0.80 |                                       2.40 |
| Advanced Lifting Methods                | advancedliftingmethods:double_sandstone_stairs_top                                    |                                       0.80 |                                       4.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_spruce_stairs                                           |                                       2.00 |                                       9.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_spruce_stairs_top                                       |                                       2.00 |                                      15.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_stone_brick_stairs                                      |                                       1.50 |                                      18.00 |
| Advanced Lifting Methods                | advancedliftingmethods:double_stone_brick_stairs_top                                  |                                       1.50 |                                      30.00 |
| Advanced Lifting Methods                | advancedliftingmethods:ender_elevator                                                 |                                       3.50 |                                      17.50 |
