+------------------------------------------+---------------------------------------------+-----------------------+-----------+----+
| Registry name                            | Name                                        | Type                  | Rarity    | ID |
+------------------------------------------+---------------------------------------------+-----------------------+-----------+----+
| apotheosis:berserk                       | enchantment.apotheosis.berserk              | ARMOR                 | VERY_RARE | 73 |
| apotheosis:capturing                     | enchantment.spw.capturing                   | WEAPON                | VERY_RARE | 79 |
| apotheosis:depth_miner                   | enchantment.apotheosis.depth_miner          | DIGGER                | RARE      | 63 |
| apotheosis:hell_infusion                 | enchantment.apotheosis.hell_infusion        | WEAPON                | VERY_RARE | 59 |
| apotheosis:icy_thorns                    | enchantment.apotheosis.icy_thorns           | ARMOR_CHEST           | RARE      | 67 |
| apotheosis:knowledge                     | enchantment.apotheosis.knowledge            | WEAPON                | RARE      | 74 |
| apotheosis:life_mending                  | enchantment.apotheosis.life_mending         | BREAKABLE             | VERY_RARE | 66 |
| apotheosis:magic_protection              | enchantment.apotheosis.magic_protection     | ARMOR                 | UNCOMMON  | 78 |
| apotheosis:mounted_strike                | enchantment.apotheosis.mounted_strike       | WEAPON                | RARE      | 60 |
| apotheosis:natures_blessing              | enchantment.apotheosis.natures_blessing     | <null>                | RARE      | 76 |
| apotheosis:rebounding                    | enchantment.apotheosis.rebounding           | ARMOR                 | RARE      | 77 |
| apotheosis:reflective                    | enchantment.apotheosis.reflective           | <null>                | RARE      | 72 |
| apotheosis:scavenger                     | enchantment.apotheosis.scavenger            | WEAPON                | VERY_RARE | 65 |
| apotheosis:shield_bash                   | enchantment.apotheosis.shield_bash          | <null>                | RARE      | 69 |
| apotheosis:splitting                     | enchantment.apotheosis.splitting            | <null>                | RARE      | 75 |
| apotheosis:stable_footing                | enchantment.apotheosis.stable_footing       | ARMOR_FEET            | RARE      | 64 |
| apotheosis:tempting                      | enchantment.apotheosis.tempting             | <null>                | UNCOMMON  | 68 |
| astralsorcery:enchantment.as.nightvision | enchantment.as.nightvision                  | ARMOR_HEAD            | VERY_RARE | 81 |
| astralsorcery:enchantment.as.smelting    | enchantment.as.smelting                     | DIGGER                | VERY_RARE | 82 |
| bewitchment:magic_protection             | enchantment.bewitchment.magic_protection    | ARMOR                 | VERY_RARE | 30 |
| bewitchment:spirit_protection            | enchantment.bewitchment.spirit_protection   | ARMOR                 | UNCOMMON  | 31 |
| bibliocraft:bibliocraft.deathcompassench | Eternal Compass                             | ALL                   | VERY_RARE | 36 |
| bibliocraft:bibliocraft.readingench      | Reading                                     | ARMOR_HEAD            | UNCOMMON  | 37 |
| cofhcore:holding                         | enchantment.cofhcore.holding                | ALL                   | UNCOMMON  | 83 |
| cofhcore:insight                         | enchantment.cofhcore.insight                | DIGGER                | UNCOMMON  | 84 |
| cofhcore:leech                           | enchantment.cofhcore.leech                  | WEAPON                | UNCOMMON  | 85 |
| cofhcore:multishot                       | enchantment.cofhcore.multishot              | BOW                   | UNCOMMON  | 86 |
| cofhcore:smashing                        | enchantment.cofhcore.smashing               | DIGGER                | RARE      | 87 |
| cofhcore:smelting                        | enchantment.cofhcore.smelting               | DIGGER                | RARE      | 88 |
| cofhcore:soulbound                       | enchantment.cofhcore.soulbound              | ALL                   | UNCOMMON  | 89 |
| cofhcore:vorpal                          | enchantment.cofhcore.vorpal                 | WEAPON                | RARE      | 90 |
| cyclicmagic:enchantment.autosmelt        | enchantment.autosmelt                       | DIGGER                | RARE      | 43 |
| cyclicmagic:enchantment.beheading        | enchantment.beheading                       | WEAPON                | VERY_RARE | 44 |
| cyclicmagic:enchantment.excavation       | enchantment.excavation                      | DIGGER                | VERY_RARE | 45 |
| cyclicmagic:enchantment.expboost         | enchantment.expboost                        | DIGGER                | VERY_RARE | 58 |
| cyclicmagic:enchantment.launch           | enchantment.launch                          | ARMOR                 | COMMON    | 46 |
| cyclicmagic:enchantment.lifeleech        | enchantment.lifeleech                       | WEAPON                | COMMON    | 47 |
| cyclicmagic:enchantment.magnet           | enchantment.magnet                          | DIGGER                | VERY_RARE | 52 |
