+----------------------------------+--------------------------------------------------------+-------------------------------+--------+
| Mod name                         | Registry name                                          | Entity class name             |     ID |
+----------------------------------+--------------------------------------------------------+-------------------------------+--------+
| Actually Additions               | actuallyadditions:worm                                 | EntityWorm                    |      0 |
| Applied Energistics 2            | appliedenergistics2:appeng.entity.entitychargedquartz  | EntityChargedQuartz           |     12 |
| Applied Energistics 2            | appliedenergistics2:appeng.entity.entitygrowingcrystal | EntityGrowingCrystal          |     13 |
| Applied Energistics 2            | appliedenergistics2:appeng.entity.entitysingularity    | EntitySingularity             |     11 |
| Applied Energistics 2            | appliedenergistics2:appeng.entity.entitytinytntprimed  | EntityTinyTNTPrimed           |     10 |
| Arcane Archives                  | arcanearchives:weight                                  | EntityWeight                  |      0 |
| Artifacts                        | artifacts:hallow_star                                  | EntityHallowStar              |      1 |
| Artifacts                        | artifacts:mimic                                        | EntityMimic                   |      0 |
| Astral Sorcery                   | astralsorcery:entitycrystal                            | EntityCrystal                 |      2 |
| Astral Sorcery                   | astralsorcery:entitycrystaltool                        | EntityCrystalTool             |      7 |
| Astral Sorcery                   | astralsorcery:entityflare                              | EntityFlare                   |      3 |
| Astral Sorcery                   | astralsorcery:entitygrapplinghook                      | EntityGrapplingHook           |      8 |
| Astral Sorcery                   | astralsorcery:entityhighlighted                        | EntityItemHighlighted         |      0 |
| Astral Sorcery                   | astralsorcery:entityilluminationspark                  | EntityIlluminationSpark       |      5 |
| Astral Sorcery                   | astralsorcery:entityitemdamageresistant                | EntityItemExplosionResistant  |     13 |
| Astral Sorcery                   | astralsorcery:entityliquidspark                        | EntityLiquidSpark             |     10 |
| Astral Sorcery                   | astralsorcery:entitynocturnalspark                     | EntityNocturnalSpark          |      6 |
| Astral Sorcery                   | astralsorcery:entityobservatoryhelper                  | EntityObservatoryHelper       |     11 |
| Astral Sorcery                   | astralsorcery:entityshootingstar                       | EntityShootingStar            |     12 |
| Astral Sorcery                   | astralsorcery:entityspectraltool                       | EntitySpectralTool            |      9 |
