+--------------------------------------+----------------------------------------------------------------------------+----------+----------------------------------------------+------------------------------------------------------------+
| OreDict Key                          | Registry name                                                              | Meta/dmg | Display name                                 | NBT                                                        |
+--------------------------------------+----------------------------------------------------------------------------+----------+----------------------------------------------+------------------------------------------------------------+
| actuator                             | nuclearcraft:part                                                          |        9 | Linear Actuator                              |                                                            |
| allFlesh                             | minecraft:beef                                                             |        0 | Raw Beef                                     |                                                            |
| allFlesh                             | minecraft:chicken                                                          |        0 | Raw Chicken                                  |                                                            |
| allFlesh                             | minecraft:fish                                                             |        0 | Raw Fish                                     |                                                            |
| allFlesh                             | minecraft:mutton                                                           |        0 | Raw Mutton                                   |                                                            |
| allFlesh                             | minecraft:porkchop                                                         |        0 | Raw Porkchop                                 |                                                            |
| allFlowers                           | minecraft:double_plant                                                     |        0 | Sunflower                                    |                                                            |
| allFlowers                           | minecraft:double_plant                                                     |        1 | Lilac                                        |                                                            |
| allFlowers                           | minecraft:double_plant                                                     |        4 | Rose Bush                                    |                                                            |
| allFlowers                           | minecraft:double_plant                                                     |        5 | Peony                                        |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        0 | Poppy                                        |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        1 | Blue Orchid                                  |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        2 | Allium                                       |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        3 | Azure Bluet                                  |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        4 | Red Tulip                                    |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        5 | Orange Tulip                                 |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        6 | White Tulip                                  |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        7 | Pink Tulip                                   |                                                            |
| allFlowers                           | minecraft:red_flower                                                       |        8 | Oxeye Daisy                                  |                                                            |
| allFlowers                           | minecraft:yellow_flower                                                    |        0 | Dandelion                                    |                                                            |
| alloyAdvanced                        | mekanism:enrichedalloy                                                     |        0 | Enriched Alloy                               |                                                            |
| alloyBasic                           | minecraft:redstone                                                         |        0 | Redstone                                     |                                                            |
| alloyElite                           | mekanism:reinforcedalloy                                                   |        0 | Reinforced Alloy                             |                                                            |
| alloyUltimate                        | mekanism:atomicalloy                                                       |        0 | Atomic Alloy                                 |                                                            |
| arrow                                | minecraft:arrow                                                            |        0 | Arrow                                        |                                                            |
| arrow                                | minecraft:spectral_arrow                                                   |        0 | Spectral Arrow                               |                                                            |
| arrow                                | minecraft:tipped_arrow                                                     |        0 | Brew-Infused Arrow                           |                                                            |
| bEnderAirBottle                      | botania:manaresource                                                       |       15 | Ender Air Bottle                             |                                                            |
| bFlask                               | botania:vial                                                               |        1 | Alfglass Flask                               |                                                            |
| bPlaceholder                         | botania:manaresource                                                       |       11 | Crafting Placeholder                         |                                                            |
| bRedString                           | botania:manaresource                                                       |       12 | Red String                                   |                                                            |
| bVial                                | botania:vial                                                               |        0 | Managlass Vial                               |                                                            |
| ballConductiveIron                   | enderio:item_alloy_ball                                                    |        4 | Conductive Iron Grinding Ball                |                                                            |
| ballConstructionAlloy                | enderio:item_alloy_ball                                                    |        9 | Iron Alloy Grinding Ball                     |                                                            |
| ballCrudeSteel                       | enderio:item_alloy_endergy_ball                                            |        0 | Crude Steel Grinding Ball                    |                                                            |
