+----------------------------------+-----------------------------------+------------------------------------------+-----+-------------------------+--------+---------------+
| Mod name                         | Registry name                     | Potion Name                              |  ID | Liquid color            | Is bad | Is beneficial |
+----------------------------------+-----------------------------------+------------------------------------------+-----+-------------------------+--------+---------------+
| Astral Sorcery                   | astralsorcery:potionbleed         | effect.as.bleed                          | 150 | 0x00751200 (   7672320) |   true |         false |
| Astral Sorcery                   | astralsorcery:potioncheatdeath    | effect.as.cheatdeath                     | 149 | 0x00FF5711 (  16733969) |  false |          true |
| Astral Sorcery                   | astralsorcery:potiondropmodifier  | effect.as.dropmod                        | 152 | 0x00FFD114 (  16765204) |  false |          true |
| Astral Sorcery                   | astralsorcery:potionspellplague   | effect.as.spellplague                    | 151 | 0x00680190 (   6816144) |   true |         false |
| Astral Sorcery                   | astralsorcery:potiontimefreeze    | effect.as.timefreeze                     | 153 | 0x00B89AFF (  12098303) |  false |          true |
| Bewitchment                      | bewitchment:absence               | bewitchment.absence                      |  66 | 0x00FFFFFF (  16777215) |  false |         false |
| Bewitchment                      | bewitchment:arachnophobia         | bewitchment.arachnophobia                |  82 | 0x00C0C0C0 (  12632256) |   true |         false |
| Bewitchment                      | bewitchment:blight                | bewitchment.blight                       |  79 | 0x007F4000 (   8339456) |   true |         false |
| Bewitchment                      | bewitchment:citrinitas            | bewitchment.citrinitas                   |  74 | 0x00FFFF00 (  16776960) |  false |         false |
| Bewitchment                      | bewitchment:corruption            | bewitchment.corruption                   |  68 | 0x005C007F (   6029439) |   true |         false |
| Bewitchment                      | bewitchment:cursed_leaps          | bewitchment.cursed_leaps                 |  95 | 0x0010C440 (   1098816) |   true |         false |
| Bewitchment                      | bewitchment:deflection            | bewitchment.deflection                   |  91 | 0x00C000FF (  12583167) |  false |         false |
| Bewitchment                      | bewitchment:desertification       | bewitchment.desertification              |  75 | 0x00FFC400 (  16761856) |  false |         false |
| Bewitchment                      | bewitchment:deviants_decomposure  | bewitchment.deviants_decomposure         |  86 | 0x00DC7F10 (  14450448) |   true |         false |
| Bewitchment                      | bewitchment:disrobing             | bewitchment.disrobing                    |  93 | 0x00407F20 (   4226848) |   true |         false |
| Bewitchment                      | bewitchment:fertility             | bewitchment.fertility                    |  76 | 0x0040C000 (   4243456) |  false |         false |
| Bewitchment                      | bewitchment:grace                 | bewitchment.grace                        |  89 | 0x00C6C6C6 (  13027014) |  false |         false |
| Bewitchment                      | bewitchment:harvest               | bewitchment.harvest                      |  77 | 0x00FF7F00 (  16744192) |  false |         false |
| Bewitchment                      | bewitchment:hellworld             | bewitchment.hellworld                    |  71 | 0x00D20202 (  13763074) |   true |         false |
| Bewitchment                      | bewitchment:holy_water            | bewitchment.holy_water                   |  84 | 0x007F7FFF (   8355839) |  false |         false |
| Bewitchment                      | bewitchment:iceworld              | bewitchment.iceworld                     |  72 | 0x0010DCDC (   1105116) |   true |         false |
| Bewitchment                      | bewitchment:magic_resistance      | bewitchment.magic_resistance             |  69 | 0x00C6C6C6 (  13027014) |  false |         false |
| Bewitchment                      | bewitchment:magic_weakness        | bewitchment.magic_weakness               |  70 | 0x007F00C0 (   8323264) |   true |         false |
| Bewitchment                      | bewitchment:mending               | bewitchment.mending                      |  83 | 0x00FFFF00 (  16776960) |  false |         false |
| Bewitchment                      | bewitchment:pesticide             | bewitchment.pesticide                    |  81 | 0x00007F00 (     32512) |   true |         false |
| Bewitchment                      | bewitchment:purification          | bewitchment.purification                 |  67 | 0x00FF7FFF (  16744447) |  false |         false |
| Bewitchment                      | bewitchment:revealing             | bewitchment.revealing                    |  92 | 0x0000C4FF (     50431) |   true |         false |
| Bewitchment                      | bewitchment:rubedo                | bewitchment.rubedo                       |  73 | 0x00FF0000 (  16711680) |  false |         false |
| Bewitchment                      | bewitchment:ruin                  | bewitchment.ruin                         |  80 | 0x00606060 (   6316128) |   true |         false |
| Bewitchment                      | bewitchment:shell_armor           | bewitchment.shell_armor                  |  90 | 0x0000C040 (     49216) |  false |         false |
| Bewitchment                      | bewitchment:sinking               | bewitchment.sinking                      |  94 | 0x004000C0 (   4194496) |   true |         false |
| Bewitchment                      | bewitchment:sleeping              | bewitchment.sleeping                     |  87 | 0x00FF007F (  16711807) |   true |         false |
| Bewitchment                      | bewitchment:spore_cloud           | bewitchment.spore_cloud                  |  78 | 0x007F3F7F (   8339327) |   true |         false |
| Bewitchment                      | bewitchment:volatility            | bewitchment.volatility                   |  88 | 0x00FF6000 (  16736256) |   true |         false |
| Bewitchment                      | bewitchment:wednesday             | bewitchment.wednesday                    |  65 | 0x0000FF00 (     65280) |  false |         false |
| Bewitchment                      | bewitchment:wolfsbane             | bewitchment.wolfsbane                    |  85 | 0x003F00FF (   4129023) |  false |         false |
| Blood Arsenal                    | bloodarsenal:bleeding             | Bleeding                                 | 117 | 0x00FF0000 (  16711680) |   true |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:boost                  | Boost                                    |  48 | 0x00FFFFFF (  16777215) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:bounce                 | Bounce                                   |  57 | 0x00000000 (         0) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:cling                  | Cling                                    |  58 | 0x00000000 (         0) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:constrict              | Constriction                             |  54 | 0x00000000 (         0) |   true |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:deafness               | Deaf                                     |  56 | 0x00000000 (         0) |   true |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:feathered              | Feathered                                |  64 | 0x00000000 (         0) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:fire_fuse              | Fire Fuse                                |  53 | 0x00FF3333 (  16724787) |   true |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:flight                 | Flight                                   |  60 | 0x00000000 (         0) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:grounded               | Grounded                                 |  61 | 0x00000000 (         0) |   true |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:heavy_heart            | Heavy Heart                              |  63 | 0x00000000 (         0) |   true |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:planar_binding         | Planar Binding                           |  50 | 0x00000000 (         0) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:plant_leech            | Plant Leech                              |  55 | 0x00000000 (         0) |   true |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:sacrificial_lamb       | S. Lamb                                  |  59 | 0x00000000 (         0) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:soul_fray              | Soul Fray                                |  52 | 0x00FFFFFF (  16777215) |   true |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:soul_snare             | Soul Snare                               |  51 | 0x00FFFFFF (  16777215) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:suspended              | Suspended                                |  62 | 0x00000000 (         0) |  false |         false |
| Blood Magic: Alchemical Wizardry | bloodmagic:whirlwind              | Whirlwind                                |  49 | 0x00FFFFFF (  16777215) |  false |         false |
| Botania                          | botania:allure                    | botania.potion.allure                    |  46 | 0x000034E4 (     13540) |  false |          true |
| Botania                          | botania:bloodthirst               | botania.potion.bloodthirst               |  45 | 0x00C30000 (  12779520) |  false |          true |
| Botania                          | botania:clear                     | botania.potion.clear                     |  47 | 0x00FFFFFF (  16777215) |  false |         false |
| Botania                          | botania:emptiness                 | botania.potion.emptiness                 |  44 | 0x00FACFFF (  16437247) |  false |          true |
| Botania                          | botania:featherfeet               | botania.potion.featherFeet               |  43 | 0x0026ADFF (   2534911) |  false |          true |
| Botania                          | botania:soulcross                 | botania.potion.soulCross                 |  42 | 0x0047453D (   4670781) |  false |          true |
| Construct's Armory               | conarm:superhotpotion             | potion.superhotpotion                    | 118 | 0x00FFFFFF (  16777215) |  false |         false |
| Cyclic                           | cyclicmagic:potion.bounce         | potion.bounce                            | 143 | 0x0091E459 (   9561177) |  false |         false |
| Cyclic                           | cyclicmagic:potion.butter         | potion.butter                            | 145 | 0x00E5E500 (  15066368) |  false |         false |
| Cyclic                           | cyclicmagic:potion.ender          | potion.ender                             | 138 | 0x000B4D42 (    740674) |  false |         false |
| Cyclic                           | cyclicmagic:potion.frostwalker    | potion.frostwalker                       | 144 | 0x0042F4D7 (   4388055) |  false |         false |
| Cyclic                           | cyclicmagic:potion.magnet         | potion.magnet                            | 137 | 0x00224BAF (   2247599) |  false |         false |
| Cyclic                           | cyclicmagic:potion.slowfall       | potion.slowfall                          | 140 | 0x00F46F20 (  16019232) |  false |         false |
| Cyclic                           | cyclicmagic:potion.snow           | potion.snow                              | 141 | 0x008EBFFF (   9355263) |  false |         false |
| Cyclic                           | cyclicmagic:potion.stunned        | potion.stunned                           | 146 | 0x00C2C4F7 (  12764407) |  false |         false |
| Cyclic                           | cyclicmagic:potion.swimspeed      | potion.swimspeed                         | 142 | 0x00B477FF (  11827199) |  false |         false |
| Cyclic                           | cyclicmagic:potion.waterwalk      | potion.waterwalk                         | 139 | 0x007FB8A4 (   8370340) |  false |         false |
| Ender Zoo                        | enderzoo:enderzoo.floatingpotion  | enderzoo.floatingpotion                  | 154 | 0x00007C00 (     31744) |  false |         false |
| ExtraBotany                      | extrabotany:blacksabbath          | extrabotany.potion.blacksabbath          | 131 | 0x00000000 (         0) |  false |          true |
| ExtraBotany                      | extrabotany:bloodtemptation       | extrabotany.potion.bloodtemptation       | 132 | 0x00DC143C (  14423100) |   true |         false |
| ExtraBotany                      | extrabotany:constantpain          | extrabotany.potion.constantpain          | 129 | 0x00808080 (   8421504) |  false |         false |
| ExtraBotany                      | extrabotany:divinejustice         | extrabotany.potion.divinejustice         | 130 | 0x00FF7F50 (  16744272) |  false |         false |
| ExtraBotany                      | extrabotany:eternity              | extrabotany.potion.eternity              | 127 | 0x00DAA520 (  14329120) |  false |          true |
| ExtraBotany                      | extrabotany:healreverse           | extrabotany.potion.healreverse           | 136 | 0x004B0082 (   4915330) |   true |          true |
| ExtraBotany                      | extrabotany:mindcrack             | extrabotany.potion.mindcrack             | 126 | 0x008B008B (   9109643) |   true |          true |
| ExtraBotany                      | extrabotany:reflect               | extrabotany.potion.reflect               | 128 | 0x004169E1 (   4286945) |  false |          true |
| ExtraBotany                      | extrabotany:temptation            | extrabotany.potion.temptation            | 133 | 0x00000000 (         0) |  false |         false |
| ExtraBotany                      | extrabotany:vegetable             | extrabotany.potion.vegetable             | 135 | 0x0000FA9A (     64154) |  false |          true |
| ExtraBotany                      | extrabotany:witchcurse            | extrabotany.potion.witchcurse            | 134 | 0x00000000 (         0) |   true |         false |
| Immersive Engineering            | immersiveengineering:concretefeet | immersiveengineering.potion.concreteFeet | 124 | 0x00624A98 (   6441624) |   true |         false |
| Immersive Engineering            | immersiveengineering:conductive   | immersiveengineering.potion.conductive   | 121 | 0x00690000 (   6881280) |   true |         false |
| Immersive Engineering            | immersiveengineering:flammable    | immersiveengineering.potion.flammable    | 119 | 0x008F3F1F (   9387807) |   true |         false |
| Immersive Engineering            | immersiveengineering:flashed      | immersiveengineering.potion.flashed      | 125 | 0x00624A98 (   6441624) |   true |         false |
| Immersive Engineering            | immersiveengineering:slippery     | immersiveengineering.potion.slippery     | 120 | 0x00171003 (   1511427) |   true |         false |
