+-----------------------------------------------------+------+
| Registry name                                       |   ID |
+-----------------------------------------------------+------+
| actuallyadditions:coffee_machine                    |  830 |
| actuallyadditions:crusher                           |  832 |
| actuallyadditions:duh_duh_duh_duuuh                 |  829 |
| actuallyadditions:reconstructor                     |  831 |
| apotheosis:altar_sound                              |  864 |
| arcanearchives:brazier.absorb                       | 1079 |
| arcanearchives:resonator.complete                   | 1059 |
| arcanearchives:resonator.loop                       | 1071 |
| artifacts:fart                                      | 1084 |
| artifacts:mimic.close                               | 1081 |
| artifacts:mimic.death                               | 1085 |
| artifacts:mimic.hurt                                | 1069 |
| artifacts:mimic.open                                | 1061 |
| astralsorcery:attunement                            |  866 |
| astralsorcery:bookclose                             |  868 |
| astralsorcery:bookflip                              |  869 |
| astralsorcery:clipswitch                            |  865 |
| astralsorcery:craftfinish                           |  867 |
| bewitchment:broom_sweep                             |  704 |
| bewitchment:chalk_scribble                          |  705 |
| bewitchment:owl_hoot                                |  706 |
| bewitchment:raven_cry                               |  707 |
| bewitchment:toad_death                              |  708 |
| bewitchment:toad_hurt                               |  709 |
| bewitchment:toad_idle                               |  710 |
| botania:agricarnation                               |  650 |
| botania:airrod                                      |  649 |
| botania:altarcraft                                  |  651 |
| botania:babylonattack                               |  652 |
| botania:babylonspawn                                |  653 |
| botania:bellows                                     |  654 |
| botania:bifrostrod                                  |  655 |
| botania:blacklotus                                  |  656 |
| botania:dash                                        |  657 |
| botania:ding                                        |  658 |
| botania:divacharm                                   |  659 |
| botania:divinationrod                               |  660 |
| botania:doit                                        |  661 |
| botania:enchanterenchant                            |  664 |
| botania:enchanterfade                               |  663 |
| botania:enchanterform                               |  662 |
| botania:endoflame                                   |  665 |
| botania:equipbauble                                 |  666 |
| botania:gaiatrap                                    |  667 |
| botania:goldenlaurel                                |  668 |
| botania:holycloak                                   |  669 |
| botania:laputastart                                 |  670 |
| botania:lexiconopen                                 |  671 |
| botania:lexiconpage                                 |  672 |
| botania:lightrelay                                  |  673 |
| botania:manablaster                                 |  674 |
| botania:manapoolcraft                               |  675 |
| botania:missile                                     |  676 |
| botania:music.gaia1                                 |  690 |
| botania:music.gaia2                                 |  691 |
| botania:orechid                                     |  677 |
| botania:potioncreate                                |  678 |
| botania:runealtarcraft                              |  679 |
| botania:runealtarstart                              |  680 |
| botania:spreaderfire                                |  681 |
| botania:starcaller                                  |  682 |
| botania:terrablade                                  |  683 |
| botania:terraformrod                                |  684 |
| botania:terrapickmode                               |  685 |
| botania:terrasteelcraft                             |  686 |
| botania:thermalily                                  |  687 |
| botania:unholycloak                                 |  688 |
| botania:way                                         |  689 |
| buildinggadgets:beep                                |  724 |
| charset:block.crank                                 |  833 |
| chisel:dirt_chisel                                  |  556 |
| chisel:fallback                                     |  554 |
| chisel:metal_break                                  |  549 |
| chisel:metal_fall                                   |  550 |
| chisel:metal_hit                                    |  551 |
| chisel:metal_place                                  |  552 |
| chisel:metal_step                                   |  553 |
| chisel:wood_chisel                                  |  555 |
| compactmachines3:miniaturization_crafting           |  725 |
| cookingforblockheads:fridge_close                   |  727 |
| cookingforblockheads:fridge_open                    |  726 |
| cookingforblockheads:oven_close                     |  729 |
| cookingforblockheads:oven_open                      |  728 |
| cookingforblockheads:toaster_start                  |  730 |
| cookingforblockheads:toaster_stop                   |  731 |
| cyclicmagic:basey                                   |  834 |
| cyclicmagic:block_scaffolding                       |  842 |
| cyclicmagic:bwewe                                   |  836 |
| cyclicmagic:bwoaaap                                 |  838 |
| cyclicmagic:chaos_reaper                            |  843 |
| cyclicmagic:crack                                   |  839 |
| cyclicmagic:dcoin                                   |  858 |
| cyclicmagic:dice_mike_koenig                        |  863 |
| cyclicmagic:doorbell_mikekoenig                     |  862 |
| cyclicmagic:dungeonfinder                           |  835 |
| cyclicmagic:fan_loop                                |  861 |
| cyclicmagic:fan_off                                 |  859 |
| cyclicmagic:fan_on                                  |  860 |
| cyclicmagic:fill                                    |  837 |
| cyclicmagic:fireball_explode                        |  844 |
| cyclicmagic:fireball_staff_launch                   |  845 |
| cyclicmagic:frost_staff_launch                      |  846 |
| cyclicmagic:lightning_staff_launch                  |  847 |
| cyclicmagic:machine_launch                          |  848 |
| cyclicmagic:monster_ball_capture                    |  849 |
| cyclicmagic:monster_ball_release                    |  850 |
| cyclicmagic:pschew_fire                             |  841 |
| cyclicmagic:spikes_off                              |  851 |
| cyclicmagic:spikes_on                               |  852 |
| cyclicmagic:spirit_seeker                           |  853 |
| cyclicmagic:step_height_down                        |  854 |
| cyclicmagic:step_height_up                          |  855 |
| cyclicmagic:thunk                                   |  840 |
| cyclicmagic:tool_mode                               |  856 |
| cyclicmagic:warp_echo                               |  857 |
| deepresonance:engine_loop                           |  558 |
| deepresonance:engine_shutdown                       |  559 |
| deepresonance:engine_start                          |  557 |
| embers:block.activator.plume                        | 1033 |
| embers:block.alchemy.fail                           | 1000 |
| embers:block.alchemy.loop                           |  928 |
| embers:block.alchemy.start                          | 1030 |
| embers:block.alchemy.success                        |  991 |
| embers:block.beam_cannon.fire                       | 1034 |
| embers:block.beam_cannon.hit                        |  998 |
| embers:block.boiler.plume                           |  983 |
| embers:block.bore.loop                              |  945 |
| embers:block.bore.loop_mine                         | 1031 |
| embers:block.bore.start                             | 1007 |
| embers:block.bore.stop                              |  968 |
| embers:block.catalytic_plug.loop                    |  990 |
| embers:block.catalytic_plug.loop_ready              |  985 |
| embers:block.catalytic_plug.start                   |  949 |
| embers:block.catalytic_plug.stop                    |  951 |
| embers:block.copper_charger.loop                    |  963 |
| embers:block.crystal_cell.grow                      |  960 |
| embers:block.crystal_cell.loop                      | 1043 |
| embers:block.ember_transfer.emit.big                | 1045 |
| embers:block.ember_transfer.emit.small              | 1053 |
| embers:block.ember_transfer.receive.big             |  927 |
| embers:block.ember_transfer.receive.small           |  936 |
| embers:block.ember_transfer.relay                   |  941 |
| embers:block.field_chart.loop                       | 1057 |
| embers:block.generator.loop                         | 1005 |
